countryId,countryName,language
100,Benin,English
100,Benin,French
100,Benin,Spanish
101,Burkina Faso,English
101,Burkina Faso,French
101,Burkina Faso,Spanish
102,Ivory Coast,English
102,Côte d'Ivoire,French
102,Costa de Marfil,Spanish
103,Gambia,English
103,Gambie,French
103,Gambia,Spanish
104,Ghana,English
104,Ghana,French
104,Ghana,Spanish
105,Guinea,English
105,Guinea,French
105,Guinea,Spanish
106,Guinea-Bissau,English
106,Guinée-Bissao,French
106,Guinea-Bisáu,Spanish
107,cape Verte,English
107,Cap-Vert,French
107,Cabo Verde,Spanish
108,Liberia,English
108,Liberia,French
108,Liberia,Spanish
109,Mali,English
109,Mali,French
109,Mali,Spanish
110,Mauritania,English
110,Mauritanie,French
110,Mauritania,Spanish
111,Niger,English
111,Niger,French
111,Niger,Spanish
112,Nigeria,English
112,Nigeria,French
112,Nigeria,Spanish
113,Senegal,English
113,Senegal,French
113,senegal,Spanish
114,Sierra Leone,English
114,Sierra Leone,French
114,Sierra Leona,Spanish
115,Togo,English
115,Togo,French
115,Togo,Spanish